iter	Passed	Remaining
559	1938	1522
560	1939	1517
561	1940	1512
562	1941	1507
563	1942	1501
564	1943	1496
565	1945	1491
566	1946	1486
567	1949	1482
568	1951	1477
569	1952	1472
570	1953	1467
571	1954	1462
572	1955	1457
573	1956	1452
574	1958	1447
575	1959	1442
576	1960	1437
577	1961	1432
578	1964	1428
579	1965	1423
580	1966	1418
581	1967	1413
582	1968	1408
583	1969	1403
584	1971	1398
585	1972	1393
586	1973	1388
587	1974	1383
588	1975	1378
589	1977	1374
590	1979	1369
591	1981	1365
592	1982	1360
593	1983	1355
594	1984	1350
595	1985	1346
596	1987	1341
597	1988	1336
598	1989	1331
599	1990	1327
600	1993	1323
601	1995	1319
602	1996	1314
603	1997	1309
604	1999	1305
605	2000	1300
606	2002	1296
607	2003	1291
608	2004	1286
609	2005	1282
610	2008	1278
611	2009	1274
612	2011	1269
613	2012	1265
614	2014	1260
615	2015	1256
616	2016	1251
617	2017	1247
618	2018	1242
619	2019	1237
620	2021	1233
621	2023	1229
622	2025	1225
623	2026	1221
624	2028	1216
625	2029	1212
626	2030	1207
627	2031	1203
628	2032	1198
629	2033	1194
630	2035	1190
631	2038	1186
632	2039	1182
633	2041	1178
634	2042	1174
635	2043	1169
636	2045	1165
637	2046	1161
638	2047	1156
639	2048	1152
640	2050	1148
641	2052	1144
642	2053	1140
643	2055	1136
644	2056	1132
645	2058	1127
646	2059	1123
647	2060	1119
648	2061	1114
649	2062	1110
650	2063	1106
651	2064	1102
652	2067	1098
653	2069	1094
654	2071	1091
655	2072	1086
656	2073	1082
657	2075	1078
658	2076	1074
659	2077	1070
660	2078	1065
661	2079	1061
662	2082	1058
663	2084	1054
664	2085	1050
665	2086	1046
666	2088	1042
667	2089	1038
668	2091	1034
669	2092	1030
670	2093	1026
671	2094	1022
672	2097	1019
673	2099	1015
674	2100	1011
675	2102	1007
676	2103	1003
677	2104	999
678	2105	995
679	2106	991
680	2107	987
681	2109	983
682	2111	979
683	2113	976
684	2115	972
685	2116	968
686	2117	964
687	2118	960
688	2119	956
689	2121	952
690	2122	949
691	2123	945
692	2125	941
693	2127	938
694	2128	934
695	2130	930
696	2131	926
697	2132	922
698	2133	918
699	2134	914
700	2135	910
701	2136	907
702	2138	903
703	2139	899
704	2141	896
705	2142	892
706	2144	888
707	2145	884
708	2146	880
709	2147	877
710	2148	873
711	2149	869
712	2150	865
713	2152	862
